# item display name	tier	extra item id	extra display name	count	returnable
# Exact recipe requirements. Shapeshifter artifact/remnant tier always equals crafted tier.
Druid Robe	7	T7_ARTEFACT_ARMOR_CLOTH_KEEPER	Grandmaster's Druidic Feathers	1	false
Druid Robe	8	T8_ARTEFACT_ARMOR_CLOTH_KEEPER	Elder's Druidic Feathers	1	false
Druid Sandals	4	T4_ARTEFACT_SHOES_CLOTH_KEEPER	Adept's Druidic Bindings	1	false
Druid Sandals	5	T5_ARTEFACT_SHOES_CLOTH_KEEPER	Expert's Druidic Bindings	1	false
Druid Sandals	6	T6_ARTEFACT_SHOES_CLOTH_KEEPER	Master's Druidic Bindings	1	false
Druid Sandals	7	T7_ARTEFACT_SHOES_CLOTH_KEEPER	Grandmaster's Druidic Bindings	1	false
Druid Sandals	8	T8_ARTEFACT_SHOES_CLOTH_KEEPER	Elder's Druidic Bindings	1	false
Druidic Staff	4	T4_ARTEFACT_MAIN_NATURESTAFF_KEEPER	Adept's Druidic Inscriptions	1	false
Druidic Staff	5	T5_ARTEFACT_MAIN_NATURESTAFF_KEEPER	Expert's Druidic Inscriptions	1	false
Druidic Staff	6	T6_ARTEFACT_MAIN_NATURESTAFF_KEEPER	Master's Druidic Inscriptions	1	false
Druidic Staff	7	T7_ARTEFACT_MAIN_NATURESTAFF_KEEPER	Grandmaster's Druidic Inscriptions	1	false
Druidic Staff	8	T8_ARTEFACT_MAIN_NATURESTAFF_KEEPER	Elder's Druidic Inscriptions	1	false
Earthrune Staff	4	T4_ARTEFACT_2H_SHAPESHIFTER_KEEPER	Adept's Runestone Golem Remnant	1	false
Earthrune Staff	5	T5_ARTEFACT_2H_SHAPESHIFTER_KEEPER	Expert's Runestone Golem Remnant	1	false
Earthrune Staff	6	T6_ARTEFACT_2H_SHAPESHIFTER_KEEPER	Master's Runestone Golem Remnant	1	false
Earthrune Staff	7	T7_ARTEFACT_2H_SHAPESHIFTER_KEEPER	Grandmaster's Runestone Golem Remnant	1	false
Earthrune Staff	8	T8_ARTEFACT_2H_SHAPESHIFTER_KEEPER	Elder's Runestone Golem Remnant	1	false
Energy Shaper	4	T4_ARTEFACT_2H_CROSSBOW_CANNON_AVALON	Adept's Humming Avalonian Whirligig	1	false
Energy Shaper	5	T5_ARTEFACT_2H_CROSSBOW_CANNON_AVALON	Expert's Humming Avalonian Whirligig	1	false
Energy Shaper	6	T6_ARTEFACT_2H_CROSSBOW_CANNON_AVALON	Master's Humming Avalonian Whirligig	1	false
Energy Shaper	7	T7_ARTEFACT_2H_CROSSBOW_CANNON_AVALON	Grandmaster's Humming Avalonian Whirligig	1	false
Energy Shaper	8	T8_ARTEFACT_2H_CROSSBOW_CANNON_AVALON	Elder's Humming Avalonian Whirligig	1	false
Evensong	4	T4_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON	Adept's Hypnotic Harmonic Ring	1	false
Evensong	5	T5_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON	Expert's Hypnotic Harmonic Ring	1	false
Evensong	6	T6_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON	Master's Hypnotic Harmonic Ring	1	false
Evensong	7	T7_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON	Grandmaster's Hypnotic Harmonic Ring	1	false
Evensong	8	T8_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON	Elder's Hypnotic Harmonic Ring	1	false
Exalted Staff	4	T4_ARTEFACT_2H_HOLYSTAFF_CRYSTAL	Adept's Exalted Crystal	1	false
Exalted Staff	5	T5_ARTEFACT_2H_HOLYSTAFF_CRYSTAL	Expert's Exalted Crystal	1	false
Exalted Staff	6	T6_ARTEFACT_2H_HOLYSTAFF_CRYSTAL	Master's Exalted Crystal	1	false
Exalted Staff	7	T7_ARTEFACT_2H_HOLYSTAFF_CRYSTAL	Grandmaster's Exalted Crystal	1	false
Exalted Staff	8	T8_ARTEFACT_2H_HOLYSTAFF_CRYSTAL	Elder's Exalted Crystal	1	false
Eye of Secrets	4	T4_ARTEFACT_OFF_ORB_MORGANA	Adept's Alluring Crystal	1	false
Eye of Secrets	5	T5_ARTEFACT_OFF_ORB_MORGANA	Expert's Alluring Crystal	1	false
Eye of Secrets	6	T6_ARTEFACT_OFF_ORB_MORGANA	Master's Alluring Crystal	1	false
Eye of Secrets	7	T7_ARTEFACT_OFF_ORB_MORGANA	Grandmaster's Alluring Crystal	1	false
Eye of Secrets	8	T8_ARTEFACT_OFF_ORB_MORGANA	Elder's Alluring Crystal	1	false
Facebreaker	4	T4_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA	Adept's Bloodforged Spikes	1	false
Facebreaker	5	T5_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA	Expert's Bloodforged Spikes	1	false
Facebreaker	6	T6_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA	Master's Bloodforged Spikes	1	false
Facebreaker	7	T7_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA	Grandmaster's Bloodforged Spikes	1	false
Facebreaker	8	T8_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA	Elder's Bloodforged Spikes	1	false
Fallen Staff	4	T4_ARTEFACT_2H_HOLYSTAFF_HELL	Adept's Infernal Scroll	1	false
Fallen Staff	5	T5_ARTEFACT_2H_HOLYSTAFF_HELL	Expert's Infernal Scroll	1	false
Fallen Staff	6	T6_ARTEFACT_2H_HOLYSTAFF_HELL	Master's Infernal Scroll	1	false
Fallen Staff	7	T7_ARTEFACT_2H_HOLYSTAFF_HELL	Grandmaster's Infernal Scroll	1	false
Fallen Staff	8	T8_ARTEFACT_2H_HOLYSTAFF_HELL	Elder's Infernal Scroll	1	false
Fiend Cowl	4	T4_ARTEFACT_HEAD_CLOTH_HELL	Adept's Infernal Cloth Visor	1	false
Fiend Cowl	5	T5_ARTEFACT_HEAD_CLOTH_HELL	Expert's Infernal Cloth Visor	1	false
Fiend Cowl	6	T6_ARTEFACT_HEAD_CLOTH_HELL	Master's Infernal Cloth Visor	1	false
Fiend Cowl	7	T7_ARTEFACT_HEAD_CLOTH_HELL	Grandmaster's Infernal Cloth Visor	1	false
Fiend Cowl	8	T8_ARTEFACT_HEAD_CLOTH_HELL	Elder's Infernal Cloth Visor	1	false
Fiend Robe	4	T4_ARTEFACT_ARMOR_CLOTH_HELL	Adept's Infernal Cloth Folds	1	false
Fiend Robe	5	T5_ARTEFACT_ARMOR_CLOTH_HELL	Expert's Infernal Cloth Folds	1	false
Fiend Robe	6	T6_ARTEFACT_ARMOR_CLOTH_HELL	Master's Infernal Cloth Folds	1	false
Fiend Robe	7	T7_ARTEFACT_ARMOR_CLOTH_HELL	Grandmaster's Infernal Cloth Folds	1	false
Fiend Robe	8	T8_ARTEFACT_ARMOR_CLOTH_HELL	Elder's Infernal Cloth Folds	1	false
Fiend Sandals	4	T4_ARTEFACT_SHOES_CLOTH_HELL	Adept's Infernal Cloth Bindings	1	false
Fiend Sandals	5	T5_ARTEFACT_SHOES_CLOTH_HELL	Expert's Infernal Cloth Bindings	1	false
Fiend Sandals	6	T6_ARTEFACT_SHOES_CLOTH_HELL	Master's Infernal Cloth Bindings	1	false
Fiend Sandals	7	T7_ARTEFACT_SHOES_CLOTH_HELL	Grandmaster's Infernal Cloth Bindings	1	false
Fiend Sandals	8	T8_ARTEFACT_SHOES_CLOTH_HELL	Elder's Infernal Cloth Bindings	1	false
Fists of Avalon	4	T4_ARTEFACT_2H_KNUCKLES_AVALON	Adept's Damaged Avalonian Gauntlet	1	false
Fists of Avalon	5	T5_ARTEFACT_2H_KNUCKLES_AVALON	Expert's Damaged Avalonian Gauntlet	1	false
Fists of Avalon	6	T6_ARTEFACT_2H_KNUCKLES_AVALON	Master's Damaged Avalonian Gauntlet	1	false
Fists of Avalon	7	T7_ARTEFACT_2H_KNUCKLES_AVALON	Grandmaster's Damaged Avalonian Gauntlet	1	false
Fists of Avalon	8	T8_ARTEFACT_2H_KNUCKLES_AVALON	Elder's Damaged Avalonian Gauntlet	1	false
Flamewalker Staff	4	T4_ARTEFACT_MAIN_FIRESTAFF_CRYSTAL	Adept's Pyreheart Crystal	1	false
Flamewalker Staff	5	T5_ARTEFACT_MAIN_FIRESTAFF_CRYSTAL	Expert's Pyreheart Crystal	1	false
Flamewalker Staff	6	T6_ARTEFACT_MAIN_FIRESTAFF_CRYSTAL	Master's Pyreheart Crystal	1	false
Flamewalker Staff	7	T7_ARTEFACT_MAIN_FIRESTAFF_CRYSTAL	Grandmaster's Pyreheart Crystal	1	false
Flamewalker Staff	8	T8_ARTEFACT_MAIN_FIRESTAFF_CRYSTAL	Elder's Pyreheart Crystal	1	false
Forcepulse Bracers	4	T4_ARTEFACT_2H_KNUCKLES_CRYSTAL	Adept's Pulsating Crystal	1	false
Forcepulse Bracers	5	T5_ARTEFACT_2H_KNUCKLES_CRYSTAL	Expert's Pulsating Crystal	1	false
Forcepulse Bracers	6	T6_ARTEFACT_2H_KNUCKLES_CRYSTAL	Master's Pulsating Crystal	1	false
Forcepulse Bracers	7	T7_ARTEFACT_2H_KNUCKLES_CRYSTAL	Grandmaster's Pulsating Crystal	1	false
Forcepulse Bracers	8	T8_ARTEFACT_2H_KNUCKLES_CRYSTAL	Elder's Pulsating Crystal	1	false
Forge Hammers	4	T4_ARTEFACT_2H_DUALHAMMER_HELL	Adept's Hellish Hammer Heads	1	false
Forge Hammers	5	T5_ARTEFACT_2H_DUALHAMMER_HELL	Expert's Hellish Hammer Heads	1	false
Forge Hammers	6	T6_ARTEFACT_2H_DUALHAMMER_HELL	Master's Hellish Hammer Heads	1	false
Forge Hammers	7	T7_ARTEFACT_2H_DUALHAMMER_HELL	Grandmaster's Hellish Hammer Heads	1	false
Forge Hammers	8	T8_ARTEFACT_2H_DUALHAMMER_HELL	Elder's Hellish Hammer Heads	1	false
Forgebark Staff	4	T4_ARTEFACT_MAIN_NATURESTAFF_CRYSTAL	Adept's Forged Crystal	1	false
Forgebark Staff	5	T5_ARTEFACT_MAIN_NATURESTAFF_CRYSTAL	Expert's Forged Crystal	1	false
Forgebark Staff	6	T6_ARTEFACT_MAIN_NATURESTAFF_CRYSTAL	Master's Forged Crystal	1	false
Forgebark Staff	7	T7_ARTEFACT_MAIN_NATURESTAFF_CRYSTAL	Grandmaster's Forged Crystal	1	false
Forgebark Staff	8	T8_ARTEFACT_MAIN_NATURESTAFF_CRYSTAL	Elder's Forged Crystal	1	false
Galatine Pair	4	T4_ARTEFACT_2H_DUALSCIMITAR_UNDEAD	Adept's Cursed Blades	1	false
Galatine Pair	5	T5_ARTEFACT_2H_DUALSCIMITAR_UNDEAD	Expert's Cursed Blades	1	false
Galatine Pair	6	T6_ARTEFACT_2H_DUALSCIMITAR_UNDEAD	Master's Cursed Blades	1	false
Galatine Pair	7	T7_ARTEFACT_2H_DUALSCIMITAR_UNDEAD	Grandmaster's Cursed Blades	1	false
Galatine Pair	8	T8_ARTEFACT_2H_DUALSCIMITAR_UNDEAD	Elder's Cursed Blades	1	false
Grailseeker	4	T4_ARTEFACT_2H_QUARTERSTAFF_AVALON	Adept's Timeworn Walking Staff	1	false
Grailseeker	5	T5_ARTEFACT_2H_QUARTERSTAFF_AVALON	Expert's Timeworn Walking Staff	1	false
Grailseeker	6	T6_ARTEFACT_2H_QUARTERSTAFF_AVALON	Master's Timeworn Walking Staff	1	false
Grailseeker	7	T7_ARTEFACT_2H_QUARTERSTAFF_AVALON	Grandmaster's Timeworn Walking Staff	1	false
Grailseeker	8	T8_ARTEFACT_2H_QUARTERSTAFF_AVALON	Elder's Timeworn Walking Staff	1	false
Graveguard Armor	4	T4_ARTEFACT_ARMOR_PLATE_UNDEAD	Adept's Ancient Chain Rings	1	false
Graveguard Armor	5	T5_ARTEFACT_ARMOR_PLATE_UNDEAD	Expert's Ancient Chain Rings	1	false
Graveguard Armor	6	T6_ARTEFACT_ARMOR_PLATE_UNDEAD	Master's Ancient Chain Rings	1	false
Graveguard Armor	7	T7_ARTEFACT_ARMOR_PLATE_UNDEAD	Grandmaster's Ancient Chain Rings	1	false
Graveguard Armor	8	T8_ARTEFACT_ARMOR_PLATE_UNDEAD	Elder's Ancient Chain Rings	1	false
Graveguard Boots	4	T4_ARTEFACT_SHOES_PLATE_UNDEAD	Adept's Ancient Bindings	1	false
Graveguard Boots	5	T5_ARTEFACT_SHOES_PLATE_UNDEAD	Expert's Ancient Bindings	1	false
Graveguard Boots	6	T6_ARTEFACT_SHOES_PLATE_UNDEAD	Master's Ancient Bindings	1	false
Graveguard Boots	7	T7_ARTEFACT_SHOES_PLATE_UNDEAD	Grandmaster's Ancient Bindings	1	false
Graveguard Boots	8	T8_ARTEFACT_SHOES_PLATE_UNDEAD	Elder's Ancient Bindings	1	false
Graveguard Helmet	4	T4_ARTEFACT_HEAD_PLATE_UNDEAD	Adept's Ancient Padding	1	false
Graveguard Helmet	5	T5_ARTEFACT_HEAD_PLATE_UNDEAD	Expert's Ancient Padding	1	false
Graveguard Helmet	6	T6_ARTEFACT_HEAD_PLATE_UNDEAD	Master's Ancient Padding	1	false
Graveguard Helmet	7	T7_ARTEFACT_HEAD_PLATE_UNDEAD	Grandmaster's Ancient Padding	1	false
Graveguard Helmet	8	T8_ARTEFACT_HEAD_PLATE_UNDEAD	Elder's Ancient Padding	1	false
Grovekeeper	4	T4_ARTEFACT_2H_RAM_KEEPER	Adept's Engraved Log	1	false
Grovekeeper	5	T5_ARTEFACT_2H_RAM_KEEPER	Expert's Engraved Log	1	false
Grovekeeper	6	T6_ARTEFACT_2H_RAM_KEEPER	Master's Engraved Log	1	false
Grovekeeper	7	T7_ARTEFACT_2H_RAM_KEEPER	Grandmaster's Engraved Log	1	false
Grovekeeper	8	T8_ARTEFACT_2H_RAM_KEEPER	Elder's Engraved Log	1	false
Hallowfall	4	T4_ARTEFACT_MAIN_HOLYSTAFF_AVALON	Adept's Messianic Curio	1	false
Hallowfall	5	T5_ARTEFACT_MAIN_HOLYSTAFF_AVALON	Expert's Messianic Curio	1	false
Hallowfall	6	T6_ARTEFACT_MAIN_HOLYSTAFF_AVALON	Master's Messianic Curio	1	false
Hallowfall	7	T7_ARTEFACT_MAIN_HOLYSTAFF_AVALON	Grandmaster's Messianic Curio	1	false
Hallowfall	8	T8_ARTEFACT_MAIN_HOLYSTAFF_AVALON	Elder's Messianic Curio	1	false
Hand of Justice	4	T4_ARTEFACT_2H_HAMMER_AVALON	Adept's Massive Metallic Hand	1	false
Hand of Justice	5	T5_ARTEFACT_2H_HAMMER_AVALON	Expert's Massive Metallic Hand	1	false
Hand of Justice	6	T6_ARTEFACT_2H_HAMMER_AVALON	Master's Massive Metallic Hand	1	false
Hand of Justice	7	T7_ARTEFACT_2H_HAMMER_AVALON	Grandmaster's Massive Metallic Hand	1	false
Hand of Justice	8	T8_ARTEFACT_2H_HAMMER_AVALON	Elder's Massive Metallic Hand	1	false
Hellfire Hands	4	T4_ARTEFACT_2H_KNUCKLES_HELL	Adept's Severed Demonic Horns	1	false
Hellfire Hands	5	T5_ARTEFACT_2H_KNUCKLES_HELL	Expert's Severed Demonic Horns	1	false
Hellfire Hands	6	T6_ARTEFACT_2H_KNUCKLES_HELL	Master's Severed Demonic Horns	1	false
Hellfire Hands	7	T7_ARTEFACT_2H_KNUCKLES_HELL	Grandmaster's Severed Demonic Horns	1	false
Hellfire Hands	8	T8_ARTEFACT_2H_KNUCKLES_HELL	Elder's Severed Demonic Horns	1	false
Hellion Hood	4	T4_ARTEFACT_HEAD_LEATHER_HELL	Adept's Demonhide Padding	1	false
Hellion Hood	5	T5_ARTEFACT_HEAD_LEATHER_HELL	Expert's Demonhide Padding	1	false
Hellion Hood	6	T6_ARTEFACT_HEAD_LEATHER_HELL	Master's Demonhide Padding	1	false
Hellion Hood	7	T7_ARTEFACT_HEAD_LEATHER_HELL	Grandmaster's Demonhide Padding	1	false
Hellion Hood	8	T8_ARTEFACT_HEAD_LEATHER_HELL	Elder's Demonhide Padding	1	false
Hellion Jacket	4	T4_ARTEFACT_ARMOR_LEATHER_HELL	Adept's Demonhide Leather	1	false
Hellion Jacket	5	T5_ARTEFACT_ARMOR_LEATHER_HELL	Expert's Demonhide Leather	1	false
Hellion Jacket	6	T6_ARTEFACT_ARMOR_LEATHER_HELL	Master's Demonhide Leather	1	false
Hellion Jacket	7	T7_ARTEFACT_ARMOR_LEATHER_HELL	Grandmaster's Demonhide Leather	1	false
Hellion Jacket	8	T8_ARTEFACT_ARMOR_LEATHER_HELL	Elder's Demonhide Leather	1	false
Hellion Shoes	4	T4_ARTEFACT_SHOES_LEATHER_HELL	Adept's Demonhide Bindings	1	false
Hellion Shoes	5	T5_ARTEFACT_SHOES_LEATHER_HELL	Expert's Demonhide Bindings	1	false
Hellion Shoes	6	T6_ARTEFACT_SHOES_LEATHER_HELL	Master's Demonhide Bindings	1	false
Hellion Shoes	7	T7_ARTEFACT_SHOES_LEATHER_HELL	Grandmaster's Demonhide Bindings	1	false
Hellion Shoes	8	T8_ARTEFACT_SHOES_LEATHER_HELL	Elder's Demonhide Bindings	1	false
Hellspawn Staff	4	T4_ARTEFACT_2H_SHAPESHIFTER_HELL	Adept's Hellfire Imp Remnant	1	false
Hellspawn Staff	5	T5_ARTEFACT_2H_SHAPESHIFTER_HELL	Expert's Hellfire Imp Remnant	1	false
Hellspawn Staff	6	T6_ARTEFACT_2H_SHAPESHIFTER_HELL	Master's Hellfire Imp Remnant	1	false
Hellspawn Staff	7	T7_ARTEFACT_2H_SHAPESHIFTER_HELL	Grandmaster's Hellfire Imp Remnant	1	false
Hellspawn Staff	8	T8_ARTEFACT_2H_SHAPESHIFTER_HELL	Elder's Hellfire Imp Remnant	1	false
Helmet of Valor	4	T4_ARTEFACT_HEAD_PLATE_AVALON	Adept's Exalted Visor	1	false
Helmet of Valor	5	T5_ARTEFACT_HEAD_PLATE_AVALON	Expert's Exalted Visor	1	false
Helmet of Valor	6	T6_ARTEFACT_HEAD_PLATE_AVALON	Master's Exalted Visor	1	false
Helmet of Valor	7	T7_ARTEFACT_HEAD_PLATE_AVALON	Grandmaster's Exalted Visor	1	false
Helmet of Valor	8	T8_ARTEFACT_HEAD_PLATE_AVALON	Elder's Exalted Visor	1	false
Heron Spear	4	T4_ARTEFACT_MAIN_SPEAR_KEEPER	Adept's Keeper Spearhead	1	false
Heron Spear	5	T5_ARTEFACT_MAIN_SPEAR_KEEPER	Expert's Keeper Spearhead	1	false
Heron Spear	6	T6_ARTEFACT_MAIN_SPEAR_KEEPER	Master's Keeper Spearhead	1	false
Heron Spear	7	T7_ARTEFACT_MAIN_SPEAR_KEEPER	Grandmaster's Keeper Spearhead	1	false
Heron Spear	8	T8_ARTEFACT_MAIN_SPEAR_KEEPER	Elder's Keeper Spearhead	1	false
Hoarfrost Staff	4	T4_ARTEFACT_MAIN_FROSTSTAFF_KEEPER	Adept's Hoarfrost Orb	1	false
Hoarfrost Staff	5	T5_ARTEFACT_MAIN_FROSTSTAFF_KEEPER	Expert's Hoarfrost Orb	1	false
Hoarfrost Staff	6	T6_ARTEFACT_MAIN_FROSTSTAFF_KEEPER	Master's Hoarfrost Orb	1	false
Hoarfrost Staff	7	T7_ARTEFACT_MAIN_FROSTSTAFF_KEEPER	Grandmaster's Hoarfrost Orb	1	false
Hoarfrost Staff	8	T8_ARTEFACT_MAIN_FROSTSTAFF_KEEPER	Elder's Hoarfrost Orb	1	false
Hood of Tenacity	4	T4_ARTEFACT_HEAD_LEATHER_AVALON	Adept's Augured Padding	1	false
Hood of Tenacity	5	T5_ARTEFACT_HEAD_LEATHER_AVALON	Expert's Augured Padding	1	false
Hood of Tenacity	6	T6_ARTEFACT_HEAD_LEATHER_AVALON	Master's Augured Padding	1	false
Hood of Tenacity	7	T7_ARTEFACT_HEAD_LEATHER_AVALON	Grandmaster's Augured Padding	1	false
Hood of Tenacity	8	T8_ARTEFACT_HEAD_LEATHER_AVALON	Elder's Augured Padding	1	false
Icicle Staff	4	T4_ARTEFACT_2H_ICEGAUNTLETS_HELL	Adept's Icicle Orb	1	false
Icicle Staff	5	T5_ARTEFACT_2H_ICEGAUNTLETS_HELL	Expert's Icicle Orb	1	false
Icicle Staff	6	T6_ARTEFACT_2H_ICEGAUNTLETS_HELL	Master's Icicle Orb	1	false
Icicle Staff	7	T7_ARTEFACT_2H_ICEGAUNTLETS_HELL	Grandmaster's Icicle Orb	1	false
Icicle Staff	8	T8_ARTEFACT_2H_ICEGAUNTLETS_HELL	Elder's Icicle Orb	1	false
Incubus Mace	4	T4_ARTEFACT_MAIN_MACE_HELL	Adept's Infernal Mace Head	1	false
Incubus Mace	5	T5_ARTEFACT_MAIN_MACE_HELL	Expert's Infernal Mace Head	1	false
Incubus Mace	6	T6_ARTEFACT_MAIN_MACE_HELL	Master's Infernal Mace Head	1	false
Incubus Mace	7	T7_ARTEFACT_MAIN_MACE_HELL	Grandmaster's Infernal Mace Head	1	false
Incubus Mace	8	T8_ARTEFACT_MAIN_MACE_HELL	Elder's Infernal Mace Head	1	false
Infernal Scythe	4	T4_ARTEFACT_2H_SCYTHE_HELL	Adept's Hellish Sicklehead	1	false
Infernal Scythe	5	T5_ARTEFACT_2H_SCYTHE_HELL	Expert's Hellish Sicklehead	1	false
Infernal Scythe	6	T6_ARTEFACT_2H_SCYTHE_HELL	Master's Hellish Sicklehead	1	false
Infernal Scythe	7	T7_ARTEFACT_2H_SCYTHE_HELL	Grandmaster's Hellish Sicklehead	1	false
Infernal Scythe	8	T8_ARTEFACT_2H_SCYTHE_HELL	Elder's Hellish Sicklehead	1	false
Infinity Blade	4	T4_ARTEFACT_MAIN_SWORD_CRYSTAL	Adept's Infinite Crystal	1	false
Infinity Blade	5	T5_ARTEFACT_MAIN_SWORD_CRYSTAL	Expert's Infinite Crystal	1	false
Infinity Blade	6	T6_ARTEFACT_MAIN_SWORD_CRYSTAL	Master's Infinite Crystal	1	false
Infinity Blade	7	T7_ARTEFACT_MAIN_SWORD_CRYSTAL	Grandmaster's Infinite Crystal	1	false
Infinity Blade	8	T8_ARTEFACT_MAIN_SWORD_CRYSTAL	Elder's Infinite Crystal	1	false
Ironroot Staff	4	T4_ARTEFACT_MAIN_NATURESTAFF_AVALON	Adept's Uprooted Perennial Sapling	1	false
Ironroot Staff	5	T5_ARTEFACT_MAIN_NATURESTAFF_AVALON	Expert's Uprooted Perennial Sapling	1	false
Ironroot Staff	6	T6_ARTEFACT_MAIN_NATURESTAFF_AVALON	Master's Uprooted Perennial Sapling	1	false
Ironroot Staff	7	T7_ARTEFACT_MAIN_NATURESTAFF_AVALON	Grandmaster's Uprooted Perennial Sapling	1	false
Ironroot Staff	8	T8_ARTEFACT_MAIN_NATURESTAFF_AVALON	Elder's Uprooted Perennial Sapling	1	false
Jacket of Tenacity	4	T4_ARTEFACT_ARMOR_LEATHER_AVALON	Adept's Augured Sash	1	false
Jacket of Tenacity	5	T5_ARTEFACT_ARMOR_LEATHER_AVALON	Expert's Augured Sash	1	false
Jacket of Tenacity	6	T6_ARTEFACT_ARMOR_LEATHER_AVALON	Master's Augured Sash	1	false
Jacket of Tenacity	7	T7_ARTEFACT_ARMOR_LEATHER_AVALON	Grandmaster's Augured Sash	1	false
Jacket of Tenacity	8	T8_ARTEFACT_ARMOR_LEATHER_AVALON	Elder's Augured Sash	1	false
Judicator Armor	4	T4_ARTEFACT_ARMOR_PLATE_KEEPER	Adept's Preserved Animal Fur	1	false
Judicator Armor	5	T5_ARTEFACT_ARMOR_PLATE_KEEPER	Expert's Preserved Animal Fur	1	false
Judicator Armor	6	T6_ARTEFACT_ARMOR_PLATE_KEEPER	Master's Preserved Animal Fur	1	false
Judicator Armor	7	T7_ARTEFACT_ARMOR_PLATE_KEEPER	Grandmaster's Preserved Animal Fur	1	false
Judicator Armor	8	T8_ARTEFACT_ARMOR_PLATE_KEEPER	Elder's Preserved Animal Fur	1	false
Judicator Boots	4	T4_ARTEFACT_SHOES_PLATE_KEEPER	Adept's Inscribed Bindings	1	false
Judicator Boots	5	T5_ARTEFACT_SHOES_PLATE_KEEPER	Expert's Inscribed Bindings	1	false
Judicator Boots	6	T6_ARTEFACT_SHOES_PLATE_KEEPER	Master's Inscribed Bindings	1	false
Judicator Boots	7	T7_ARTEFACT_SHOES_PLATE_KEEPER	Grandmaster's Inscribed Bindings	1	false
Judicator Boots	8	T8_ARTEFACT_SHOES_PLATE_KEEPER	Elder's Inscribed Bindings	1	false
Judicator Helmet	4	T4_ARTEFACT_HEAD_PLATE_KEEPER	Adept's Carved Skull Padding	1	false
Judicator Helmet	5	T5_ARTEFACT_HEAD_PLATE_KEEPER	Expert's Carved Skull Padding	1	false
Judicator Helmet	6	T6_ARTEFACT_HEAD_PLATE_KEEPER	Master's Carved Skull Padding	1	false
Judicator Helmet	7	T7_ARTEFACT_HEAD_PLATE_KEEPER	Grandmaster's Carved Skull Padding	1	false
Judicator Helmet	8	T8_ARTEFACT_HEAD_PLATE_KEEPER	Elder's Carved Skull Padding	1	false
Kingmaker	4	T4_ARTEFACT_2H_CLAYMORE_AVALON	Adept's Remnants of the Old King	1	false
Kingmaker	5	T5_ARTEFACT_2H_CLAYMORE_AVALON	Expert's Remnants of the Old King	1	false
Kingmaker	6	T6_ARTEFACT_2H_CLAYMORE_AVALON	Master's Remnants of the Old King	1	false
Kingmaker	7	T7_ARTEFACT_2H_CLAYMORE_AVALON	Grandmaster's Remnants of the Old King	1	false
Kingmaker	8	T8_ARTEFACT_2H_CLAYMORE_AVALON	Elder's Remnants of the Old King	1	false
Leering Cane	4	T4_ARTEFACT_OFF_JESTERCANE_HELL	Adept's Hellish Handle	1	false
Leering Cane	5	T5_ARTEFACT_OFF_JESTERCANE_HELL	Expert's Hellish Handle	1	false
Leering Cane	6	T6_ARTEFACT_OFF_JESTERCANE_HELL	Master's Hellish Handle	1	false
Leering Cane	7	T7_ARTEFACT_OFF_JESTERCANE_HELL	Grandmaster's Hellish Handle	1	false
Leering Cane	8	T8_ARTEFACT_OFF_JESTERCANE_HELL	Elder's Hellish Handle	1	false
Lifecurse Staff	4	T4_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD	Adept's Lost Cursed Crystal	1	false
Lifecurse Staff	5	T5_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD	Expert's Lost Cursed Crystal	1	false
Lifecurse Staff	6	T6_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD	Master's Lost Cursed Crystal	1	false
Lifecurse Staff	7	T7_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD	Grandmaster's Lost Cursed Crystal	1	false
Lifecurse Staff	8	T8_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD	Elder's Lost Cursed Crystal	1	false
Lifetouch Staff	4	T4_ARTEFACT_MAIN_HOLYSTAFF_MORGANA	Adept's Possessed Scroll	1	false
Lifetouch Staff	5	T5_ARTEFACT_MAIN_HOLYSTAFF_MORGANA	Expert's Possessed Scroll	1	false
Lifetouch Staff	6	T6_ARTEFACT_MAIN_HOLYSTAFF_MORGANA	Master's Possessed Scroll	1	false
Lifetouch Staff	7	T7_ARTEFACT_MAIN_HOLYSTAFF_MORGANA	Grandmaster's Possessed Scroll	1	false
Lifetouch Staff	8	T8_ARTEFACT_MAIN_HOLYSTAFF_MORGANA	Elder's Possessed Scroll	1	false
Lightcaller	4	T4_ARTEFACT_2H_SHAPESHIFTER_AVALON	Adept's Dawnbird Remnant	1	false
Lightcaller	5	T5_ARTEFACT_2H_SHAPESHIFTER_AVALON	Expert's Dawnbird Remnant	1	false
Lightcaller	6	T6_ARTEFACT_2H_SHAPESHIFTER_AVALON	Master's Dawnbird Remnant	1	false
