# normalized display name	exact unenchanted UniqueName
# Generated from formatted-items.txt; used for market_history demand lookups.
# entries=5092
"tame" caerleon cottontail	T8_FARM_RABBIT_EASTER_GROWN_DARK
elder's assassin shoes	T8_SHOES_LEATHER_SET3
elder's astral aegis	T8_OFF_SHIELD_AVALON
elder's astral staff	T8_2H_ARCANESTAFF_CRYSTAL
elder's augured fasteners	T8_ARTEFACT_SHOES_LEATHER_AVALON
elder's augured padding	T8_ARTEFACT_HEAD_LEATHER_AVALON
elder's augured sash	T8_ARTEFACT_ARMOR_LEATHER_AVALON
elder's avalonian axe	T8_2H_TOOL_AXE_AVALON
elder's avalonian battle memoir	T8_ARTEFACT_2H_AXE_AVALON
elder's avalonian cape	T8_CAPEITEM_AVALON
elder's avalonian crest	T8_CAPEITEM_AVALON_BP
elder's avalonian fishing rod	T8_2H_TOOL_FISHINGROD_AVALON
elder's avalonian pickaxe	T8_2H_TOOL_PICK_AVALON
elder's avalonian shard	T8_SHARD_AVALONIAN
elder's avalonian sickle	T8_2H_TOOL_SICKLE_AVALON
elder's avalonian siege hammer	T8_2H_TOOL_SIEGEHAMMER_AVALON
elder's avalonian skinning knife	T8_2H_TOOL_KNIFE_AVALON
elder's avalonian stone hammer	T8_2H_TOOL_HAMMER_AVALON
elder's axe	T8_2H_TOOL_AXE
elder's bag	T8_BAG
elder's bag of silver	T8_SILVERBAG_NONTRADABLE
elder's battle bracers	T8_2H_KNUCKLES_SET2
elder's battleaxe	T8_MAIN_AXE
elder's bear paws	T8_2H_DUALAXE_KEEPER
elder's bed	T8_FURNITUREITEM_BED
elder's bedrock mace	T8_MAIN_ROCKMACE_KEEPER
elder's black hands	T8_2H_IRONGAUNTLETS_HELL
elder's black leather	T8_ARTEFACT_2H_IRONGAUNTLETS_HELL
elder's black monk staff	T8_2H_COMBATSTAFF_MORGANA
elder's blazing staff	T8_2H_INFERNOSTAFF_MORGANA
elder's blight staff	T8_2H_NATURESTAFF_HELL
elder's bloodforged blade	T8_ARTEFACT_MAIN_SCIMITAR_MORGANA
elder's bloodforged catalyst	T8_ARTEFACT_2H_CURSEDSTAFF_MORGANA
elder's bloodforged spikes	T8_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA
elder's bloodletter	T8_MAIN_RAPIER_MORGANA
elder's bloodmoon staff	T8_2H_SHAPESHIFTER_MORGANA
elder's bloodstained antiquities	T8_ARTEFACT_2H_DAGGER_KATAR_AVALON
elder's blueflame crystal	T8_ARTEFACT_OFF_TORCH_CRYSTAL
elder's blueflame torch	T8_OFF_TORCH_CRYSTAL
elder's boltcasters	T8_2H_DUALCROSSBOW_HELL
elder's boots of valor	T8_SHOES_PLATE_AVALON
elder's bow	T8_2H_BOW
elder's bow of badon	T8_2H_BOW_KEEPER
elder's brawler gloves	T8_2H_KNUCKLES_SET1
elder's brecilien cape	T8_CAPEITEM_FW_BRECILIEN
elder's brecilien crest	T8_CAPEITEM_FW_BRECILIEN_BP
elder's bridgewatch cape	T8_CAPEITEM_FW_BRIDGEWATCH
elder's bridgewatch crest	T8_CAPEITEM_FW_BRIDGEWATCH_BP
elder's bridled fury	T8_2H_DAGGER_KATAR_AVALON
elder's brimstone staff	T8_2H_FIRESTAFF_HELL
elder's broadsword	T8_MAIN_SWORD
elder's broken demonic fang	T8_ARTEFACT_MAIN_DAGGER_HELL
elder's broken oaths	T8_ARTEFACT_2H_DUALMACE_AVALON
elder's burning orb	T8_ARTEFACT_2H_FIRESTAFF_HELL
elder's caerleon cape	T8_CAPEITEM_FW_CAERLEON
elder's caerleon crest	T8_CAPEITEM_FW_CAERLEON_BP
elder's caitiff shield	T8_OFF_SHIELD_HELL
elder's camlann mace	T8_2H_MACE_MORGANA
elder's cape	T8_CAPE
elder's carrioncaller	T8_2H_HALBERD_MORGANA
elder's carved bone	T8_ARTEFACT_2H_BOW_KEEPER
elder's carved skull padding	T8_ARTEFACT_HEAD_PLATE_KEEPER
elder's carving sword	T8_2H_CLEAVER_HELL
elder's celestial censer	T8_OFF_CENSER_AVALON
elder's chilled crystalline shard	T8_ARTEFACT_MAIN_FROSTSTAFF_AVALON
elder's chillhowl	T8_MAIN_FROSTSTAFF_AVALON
elder's clarent blade	T8_MAIN_SCIMITAR_MORGANA
elder's claws	T8_2H_CLAWPAIR
elder's claymore	T8_2H_CLAYMORE
elder's cleric cowl	T8_HEAD_CLOTH_SET2
elder's cleric robe	T8_ARMOR_CLOTH_SET2
elder's cleric sandals	T8_SHOES_CLOTH_SET2
elder's cowl of purity	T8_HEAD_CLOTH_AVALON
elder's crackling crystal	T8_ARTEFACT_2H_HAMMER_CRYSTAL
elder's crossbow	T8_2H_CROSSBOW
elder's crushed avalonian heirloom	T8_ARTEFACT_OFF_SHIELD_AVALON
elder's cryptcandle	T8_OFF_LAMP_UNDEAD
elder's crystal league chest	T8_LOOTCHEST_CRYSTAL_LEAGUE
elder's crystal reaper	T8_2H_SCYTHE_CRYSTAL
elder's crystal shard	T8_SHARD_CRYSTAL
elder's crystallized divinity	T8_ARTEFACT_TOKEN_FAVOR_4
elder's crystallized dread	T8_ARTEFACT_TOKEN_FAVOR_2
elder's crystallized magic	T8_ARTEFACT_TOKEN_FAVOR_3
elder's crystallized spirit	T8_ARTEFACT_TOKEN_FAVOR_1
elder's cultist cowl	T8_HEAD_CLOTH_MORGANA
elder's cultist robe	T8_ARMOR_CLOTH_MORGANA
elder's cultist sandals	T8_SHOES_CLOTH_MORGANA
elder's cursed barbs	T8_ARTEFACT_2H_TRIDENT_UNDEAD
elder's cursed blades	T8_ARTEFACT_2H_DUALSCIMITAR_UNDEAD
elder's cursed frozen crystal	T8_ARTEFACT_2H_ICECRYSTAL_UNDEAD
elder's cursed jawbone	T8_ARTEFACT_2H_SKULLORB_HELL
elder's cursed skull	T8_2H_SKULLORB_HELL
elder's cursed staff	T8_MAIN_CURSEDSTAFF
elder's dagger	T8_MAIN_DAGGER
elder's dagger pair	T8_2H_DAGGERPAIR
elder's damaged avalonian gauntlet	T8_ARTEFACT_2H_KNUCKLES_AVALON
elder's damnation staff	T8_2H_CURSEDSTAFF_MORGANA
elder's dawnbird remnant	T8_ARTEFACT_2H_SHAPESHIFTER_AVALON
elder's dawnsong	T8_2H_FIRE_RINGPAIR_AVALON
elder's daybreaker	T8_MAIN_SPEAR_LANCE_AVALON
elder's death-touched crystal	T8_ARTEFACT_2H_DAGGERPAIR_CRYSTAL
elder's deathgivers	T8_2H_DUALSICKLE_UNDEAD
elder's demon armor	T8_ARMOR_PLATE_HELL
elder's demon boots	T8_SHOES_PLATE_HELL
elder's demon cape	T8_CAPEITEM_DEMON
elder's demon crest	T8_CAPEITEM_DEMON_BP
elder's demon helmet	T8_HEAD_PLATE_HELL
elder's demonfang	T8_MAIN_DAGGER_HELL
elder's demonhide bindings	T8_ARTEFACT_SHOES_LEATHER_HELL
elder's demonhide leather	T8_ARTEFACT_ARMOR_LEATHER_HELL
elder's demonhide padding	T8_ARTEFACT_HEAD_LEATHER_HELL
elder's demonic arrowheads	T8_ARTEFACT_2H_BOW_HELL
elder's demonic blade	T8_ARTEFACT_2H_CLEAVER_HELL
elder's demonic filling	T8_ARTEFACT_SHOES_PLATE_HELL
elder's demonic jawbone	T8_ARTEFACT_OFF_DEMONSKULL_HELL
elder's demonic plates	T8_ARTEFACT_ARMOR_PLATE_HELL
elder's demonic scraps	T8_ARTEFACT_HEAD_PLATE_HELL
elder's demonic staff	T8_2H_DEMONICSTAFF
elder's divine staff	T8_2H_DIVINESTAFF
elder's double bladed staff	T8_2H_DOUBLEBLADEDSTAFF
elder's dreadstorm crystal	T8_ARTEFACT_MAIN_MACE_CRYSTAL
elder's dreadstorm monarch	T8_MAIN_MACE_CRYSTAL
elder's druid cowl	T8_HEAD_CLOTH_KEEPER
elder's druid robe	T8_ARMOR_CLOTH_KEEPER
elder's druid sandals	T8_SHOES_CLOTH_KEEPER
elder's druidic bindings	T8_ARTEFACT_SHOES_CLOTH_KEEPER
elder's druidic feathers	T8_ARTEFACT_ARMOR_CLOTH_KEEPER
elder's druidic inscriptions	T8_ARTEFACT_MAIN_NATURESTAFF_KEEPER
elder's druidic preserved beak	T8_ARTEFACT_HEAD_CLOTH_KEEPER
elder's druidic staff	T8_MAIN_NATURESTAFF_KEEPER
elder's dual swords	T8_2H_DUALSWORD
elder's dungeon map (group)	T8_RANDOM_DUNGEON_TOKEN_1
elder's dungeon map (large group)	T8_RANDOM_DUNGEON_ELITE_TOKEN_1
elder's dungeon map (solo)	T8_RANDOM_DUNGEON_SOLO_TOKEN_1
elder's duskweaver armor	T8_ARMOR_PLATE_FEY
elder's duskweaver boots	T8_SHOES_PLATE_FEY
elder's duskweaver helmet	T8_HEAD_PLATE_FEY
elder's earthrune staff	T8_2H_SHAPESHIFTER_KEEPER
elder's edged crystal	T8_ARTEFACT_2H_SCYTHE_CRYSTAL
elder's energy shaper	T8_2H_CROSSBOW_CANNON_AVALON
elder's engraved log	T8_ARTEFACT_2H_RAM_KEEPER
elder's enigmatic staff	T8_2H_ENIGMATICSTAFF
elder's evensong	T8_2H_ARCANE_RINGPAIR_AVALON
elder's exalted crystal	T8_ARTEFACT_2H_HOLYSTAFF_CRYSTAL
elder's exalted greave	T8_ARTEFACT_SHOES_PLATE_AVALON
elder's exalted plating	T8_ARTEFACT_ARMOR_PLATE_AVALON
elder's exalted staff	T8_2H_HOLYSTAFF_CRYSTAL
elder's exalted visor	T8_ARTEFACT_HEAD_PLATE_AVALON
elder's eye of secrets	T8_OFF_ORB_MORGANA
elder's facebreaker	T8_OFF_SPIKEDSHIELD_MORGANA
elder's faded essence	T8_ESSENCE
elder's fallen staff	T8_2H_HOLYSTAFF_HELL
elder's fey dorsal wing	T8_ARTEFACT_ARMOR_CLOTH_FEY
elder's fey dragonscales	T8_ARTEFACT_SHOES_CLOTH_FEY
elder's feyscale hat	T8_HEAD_CLOTH_FEY
elder's feyscale robe	T8_ARMOR_CLOTH_FEY
elder's feyscale sandals	T8_SHOES_CLOTH_FEY
elder's fiend cowl	T8_HEAD_CLOTH_HELL
elder's fiend robe	T8_ARMOR_CLOTH_HELL
elder's fiend sandals	T8_SHOES_CLOTH_HELL
elder's fire staff	T8_MAIN_FIRESTAFF
elder's fisherman backpack	T8_BACKPACK_GATHERER_FISH
elder's fisherman cap	T8_HEAD_GATHERER_FISH
elder's fisherman garb	T8_ARMOR_GATHERER_FISH
elder's fisherman workboots	T8_SHOES_GATHERER_FISH
elder's fishing rod	T8_2H_TOOL_FISHINGROD
elder's fists of avalon	T8_2H_KNUCKLES_AVALON
elder's flamewalker staff	T8_MAIN_FIRESTAFF_CRYSTAL
elder's flawless griffin beak	T8_ARTEFACT_HEAD_LEATHER_FEY
elder's foal	T8_FARM_HORSE_BABY
elder's focus restoration potion	T8_FOCUSPOTION_NONTRADABLE
elder's forcepulse bracers	T8_2H_KNUCKLES_CRYSTAL
elder's forge hammers	T8_2H_DUALHAMMER_HELL
elder's forgebark staff	T8_MAIN_NATURESTAFF_CRYSTAL
elder's forged crystal	T8_ARTEFACT_MAIN_NATURESTAFF_CRYSTAL
elder's fort sterling cape	T8_CAPEITEM_FW_FORTSTERLING
elder's fort sterling crest	T8_CAPEITEM_FW_FORTSTERLING_BP
elder's fractured opaque orb	T8_ARTEFACT_MAIN_CURSEDSTAFF_AVALON
elder's frost staff	T8_MAIN_FROSTSTAFF
elder's galatine pair	T8_2H_DUALSCIMITAR_UNDEAD
elder's generalist trophy journal (empty)	T8_JOURNAL_TROPHY_GENERAL_EMPTY
elder's generalist trophy journal (full)	T8_JOURNAL_TROPHY_GENERAL_FULL
elder's generalist trophy journal (partially full)	T8_JOURNAL_TROPHY_GENERAL
elder's ghastly arrows	T8_ARTEFACT_2H_LONGBOW_UNDEAD
elder's ghastly bindings	T8_ARTEFACT_SHOES_LEATHER_UNDEAD
elder's ghastly blades	T8_ARTEFACT_2H_DUALSICKLE_UNDEAD
elder's ghastly candle	T8_ARTEFACT_OFF_LAMP_UNDEAD
elder's ghastly leather	T8_ARTEFACT_ARMOR_LEATHER_UNDEAD
elder's ghastly scroll	T8_ARTEFACT_2H_HOLYSTAFF_UNDEAD
elder's ghastly visor	T8_ARTEFACT_HEAD_LEATHER_UNDEAD
elder's glacial staff	T8_2H_GLACIALSTAFF
elder's glaive	T8_2H_GLAIVE
elder's glowing harmonic ring	T8_ARTEFACT_2H_FIRE_RINGPAIR_AVALON
elder's grailseeker	T8_2H_QUARTERSTAFF_AVALON
elder's graveguard armor	T8_ARMOR_PLATE_UNDEAD
elder's graveguard boots	T8_SHOES_PLATE_UNDEAD
elder's graveguard helmet	T8_HEAD_PLATE_UNDEAD
elder's great arcane staff	T8_2H_ARCANESTAFF
elder's great cursed staff	T8_2H_CURSEDSTAFF
elder's great frost staff	T8_2H_FROSTSTAFF
elder's great hammer	T8_2H_HAMMER
elder's great holy staff	T8_2H_HOLYSTAFF
elder's great nature staff	T8_2H_NATURESTAFF
elder's griffin underfur	T8_ARTEFACT_SHOES_LEATHER_FEY
elder's grovekeeper	T8_2H_RAM_KEEPER
elder's guardian armor	T8_ARMOR_PLATE_SET3
elder's guardian boots	T8_SHOES_PLATE_SET3
elder's guardian helmet	T8_HEAD_PLATE_SET3
elder's halberd	T8_2H_HALBERD
elder's hallowfall	T8_MAIN_HOLYSTAFF_AVALON
elder's hammer	T8_MAIN_HAMMER
elder's hand of justice	T8_2H_HAMMER_AVALON
elder's hardened debole	T8_ARTEFACT_MAIN_RAPIER_MORGANA
elder's harvester backpack	T8_BACKPACK_GATHERER_FIBER
elder's harvester cap	T8_HEAD_GATHERER_FIBER
elder's harvester garb	T8_ARMOR_GATHERER_FIBER
elder's harvester workboots	T8_SHOES_GATHERER_FIBER
elder's heavy crossbow	T8_2H_CROSSBOWLARGE
elder's heavy mace	T8_2H_MACE
elder's hellfire hands	T8_2H_KNUCKLES_HELL
elder's hellfire imp remnant	T8_ARTEFACT_2H_SHAPESHIFTER_HELL
elder's hellgate ritual (10v10 - lethal)	T8_HELLGATE_10V10_LETHAL_1_MAP
elder's hellion hood	T8_HEAD_LEATHER_HELL
elder's hellion jacket	T8_ARMOR_LEATHER_HELL
elder's hellion shoes	T8_SHOES_LEATHER_HELL
elder's hellish bolts	T8_ARTEFACT_2H_DUALCROSSBOW_HELL
elder's hellish hammer heads	T8_ARTEFACT_2H_DUALHAMMER_HELL
elder's hellish handle	T8_ARTEFACT_OFF_JESTERCANE_HELL
elder's hellish sicklehead	T8_ARTEFACT_2H_SCYTHE_HELL
elder's hellish sicklehead pair	T8_ARTEFACT_2H_TWINSCYTHE_HELL
elder's hellspawn staff	T8_2H_SHAPESHIFTER_HELL
elder's helmet of valor	T8_HEAD_PLATE_AVALON
elder's heraldic warhorse	SKIN_ARMORED_HORSE_T8_MOUNT_GUILD
elder's heretic cape	T8_CAPEITEM_HERETIC
elder's heretic crest	T8_CAPEITEM_HERETIC_BP
elder's heron spear	T8_MAIN_SPEAR_KEEPER
elder's hoarfrost orb	T8_ARTEFACT_MAIN_FROSTSTAFF_KEEPER
elder's hoarfrost staff	T8_MAIN_FROSTSTAFF_KEEPER
elder's holy staff	T8_MAIN_HOLYSTAFF
elder's hood of tenacity	T8_HEAD_LEATHER_AVALON
elder's horse	T8_FARM_HORSE_GROWN
elder's humming avalonian whirligig	T8_ARTEFACT_2H_CROSSBOW_CANNON_AVALON
elder's hunter hood	T8_HEAD_LEATHER_SET2
elder's hunter jacket	T8_ARMOR_LEATHER_SET2
elder's hunter shoes	T8_SHOES_LEATHER_SET2
elder's hypnotic harmonic ring	T8_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON
elder's icicle orb	T8_ARTEFACT_2H_ICEGAUNTLETS_HELL
elder's icicle staff	T8_2H_ICEGAUNTLETS_HELL
elder's icy crystal	T8_ARTEFACT_2H_FROSTSTAFF_CRYSTAL
elder's imbued leather folds	T8_ARTEFACT_ARMOR_LEATHER_MORGANA
elder's imbued mace head	T8_ARTEFACT_2H_MACE_MORGANA
elder's imbued soles	T8_ARTEFACT_SHOES_LEATHER_MORGANA
elder's imbued visor	T8_ARTEFACT_HEAD_LEATHER_MORGANA
elder's immaculately crafted riser	T8_ARTEFACT_2H_BOW_AVALON
elder's incubus mace	T8_MAIN_MACE_HELL
elder's infernal cloth bindings	T8_ARTEFACT_SHOES_CLOTH_HELL
elder's infernal cloth folds	T8_ARTEFACT_ARMOR_CLOTH_HELL
elder's infernal cloth visor	T8_ARTEFACT_HEAD_CLOTH_HELL
elder's infernal harpoon tip	T8_ARTEFACT_2H_HARPOON_HELL
elder's infernal mace head	T8_ARTEFACT_MAIN_MACE_HELL
elder's infernal scroll	T8_ARTEFACT_2H_HOLYSTAFF_HELL
elder's infernal scythe	T8_2H_SCYTHE_HELL
elder's infernal shield core	T8_ARTEFACT_OFF_SHIELD_HELL
elder's infernal staff	T8_2H_INFERNOSTAFF
elder's infinite crystal	T8_ARTEFACT_MAIN_SWORD_CRYSTAL
elder's infinity blade	T8_MAIN_SWORD_CRYSTAL
elder's inscribed bindings	T8_ARTEFACT_SHOES_PLATE_KEEPER
elder's inscribed stone	T8_ARTEFACT_OFF_TOTEM_KEEPER
elder's intact fey fibula	T8_ARTEFACT_HEAD_CLOTH_FEY
elder's iron-clad staff	T8_2H_IRONCLADEDSTAFF
elder's ironroot staff	T8_MAIN_NATURESTAFF_AVALON
elder's jacket of tenacity	T8_ARMOR_LEATHER_AVALON
elder's judicator armor	T8_ARMOR_PLATE_KEEPER
elder's judicator boots	T8_SHOES_PLATE_KEEPER
elder's judicator helmet	T8_HEAD_PLATE_KEEPER
elder's keeper axeheads	T8_ARTEFACT_2H_DUALAXE_KEEPER
elder's keeper cape	T8_CAPEITEM_KEEPER
elder's keeper crest	T8_CAPEITEM_KEEPER_BP
elder's keeper spearhead	T8_ARTEFACT_MAIN_SPEAR_KEEPER
elder's kingmaker	T8_2H_CLAYMORE_AVALON
elder's knight armor	T8_ARMOR_PLATE_SET2
elder's knight boots	T8_SHOES_PLATE_SET2
elder's knight helmet	T8_HEAD_PLATE_SET2
elder's knight's vow	T8_GVGSEASONREWARD_FAMEBUFF
elder's leering cane	T8_OFF_JESTERCANE_HELL
elder's lifecurse staff	T8_MAIN_CURSEDSTAFF_UNDEAD
elder's lifetouch staff	T8_MAIN_HOLYSTAFF_MORGANA
elder's light crossbow	T8_MAIN_1HCROSSBOW
elder's lightcaller	T8_2H_SHAPESHIFTER_AVALON
elder's longbow	T8_2H_LONGBOW
elder's lost arcane crystal	T8_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD
elder's lost crossbow mechanism	T8_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD
elder's lost cursed crystal	T8_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD
elder's lumberjack backpack	T8_BACKPACK_GATHERER_WOOD
elder's lumberjack cap	T8_HEAD_GATHERER_WOOD
elder's lumberjack garb	T8_ARMOR_GATHERER_WOOD
elder's lumberjack workboots	T8_SHOES_GATHERER_WOOD
elder's lymhurst cape	T8_CAPEITEM_FW_LYMHURST
elder's lymhurst crest	T8_CAPEITEM_FW_LYMHURST_BP
elder's mace	T8_MAIN_MACE
elder's mage cowl	T8_HEAD_CLOTH_SET3
elder's mage robe	T8_ARMOR_CLOTH_SET3
elder's mage sandals	T8_SHOES_CLOTH_SET3
elder's malevolent locus	T8_2H_ENIGMATICORB_MORGANA
elder's martlock cape	T8_CAPEITEM_FW_MARTLOCK
elder's martlock crest	T8_CAPEITEM_FW_MARTLOCK_BP
elder's massive metallic hand	T8_ARTEFACT_2H_HAMMER_AVALON
elder's mercenary hood	T8_HEAD_LEATHER_SET1
elder's mercenary jacket	T8_ARMOR_LEATHER_SET1
elder's mercenary shoes	T8_SHOES_LEATHER_SET1
elder's messianic curio	T8_ARTEFACT_MAIN_HOLYSTAFF_AVALON
elder's miner backpack	T8_BACKPACK_GATHERER_ORE
elder's miner cap	T8_HEAD_GATHERER_ORE
elder's miner garb	T8_ARMOR_GATHERER_ORE
elder's miner workboots	T8_SHOES_GATHERER_ORE
elder's mirage crystal	T8_ARTEFACT_2H_DOUBLEBLADEDSTAFF_CRYSTAL
elder's mistcaller	T8_OFF_HORN_KEEPER
elder's mistpiercer	T8_2H_BOW_AVALON
elder's mistwalker hood	T8_HEAD_LEATHER_FEY
elder's mistwalker jacket	T8_ARMOR_LEATHER_FEY
elder's mistwalker shoes	T8_SHOES_LEATHER_FEY
elder's morgana cape	T8_CAPEITEM_MORGANA
elder's morgana crest	T8_CAPEITEM_MORGANA_BP
elder's morgana halberd head	T8_ARTEFACT_2H_HALBERD_MORGANA
elder's morning star	T8_2H_FLAIL
elder's muisak	T8_OFF_DEMONSKULL_HELL
elder's nature staff	T8_MAIN_NATURESTAFF
elder's oathkeepers	T8_2H_DUALMACE_AVALON
elder's occult orb	T8_ARTEFACT_2H_ARCANESTAFF_HELL
elder's occult staff	T8_2H_ARCANESTAFF_HELL
elder's ox	T8_FARM_OX_GROWN
elder's ox calf	T8_FARM_OX_BABY
elder's permafrost prism	T8_2H_ICECRYSTAL_UNDEAD
elder's phantom twinblade	T8_2H_DOUBLEBLADEDSTAFF_CRYSTAL
elder's pickaxe	T8_2H_TOOL_PICK
elder's pike	T8_2H_SPEAR
elder's polehammer	T8_2H_POLEHAMMER
elder's possessed catalyst	T8_ARTEFACT_2H_ENIGMATICORB_MORGANA
elder's possessed scroll	T8_ARTEFACT_MAIN_HOLYSTAFF_MORGANA
elder's preserved animal fur	T8_ARTEFACT_ARMOR_PLATE_KEEPER
elder's preserved log	T8_ARTEFACT_2H_NATURESTAFF_KEEPER
elder's preserved rocks	T8_ARTEFACT_2H_ROCKSTAFF_KEEPER
elder's primal staff	T8_2H_SHAPESHIFTER_SET3
elder's prowling staff	T8_2H_SHAPESHIFTER_SET1
elder's pulsating crystal	T8_ARTEFACT_2H_KNUCKLES_CRYSTAL
elder's pyreheart crystal	T8_ARTEFACT_MAIN_FIRESTAFF_CRYSTAL
elder's quarrier backpack	T8_BACKPACK_GATHERER_ROCK
elder's quarrier cap	T8_HEAD_GATHERER_ROCK
elder's quarrier garb	T8_ARMOR_GATHERER_ROCK
elder's quarrier workboots	T8_SHOES_GATHERER_ROCK
elder's quarterstaff	T8_2H_QUARTERSTAFF
elder's rampant staff	T8_2H_NATURESTAFF_KEEPER
elder's ravenstrike cestus	T8_2H_KNUCKLES_MORGANA
elder's realmbreaker	T8_2H_AXE_AVALON
elder's redemption staff	T8_2H_HOLYSTAFF_UNDEAD
elder's reinforced morgana pole	T8_ARTEFACT_2H_COMBATSTAFF_MORGANA
elder's relic	T8_RELIC
elder's remnants of the old king	T8_ARTEFACT_2H_CLAYMORE_AVALON
elder's repair kit	T8_FURNITUREITEM_REPAIRKIT
elder's riding horse	T8_MOUNT_HORSE
elder's rift crystal	T8_ARTEFACT_2H_GLAIVE_CRYSTAL
elder's rift glaive	T8_2H_GLAIVE_CRYSTAL
elder's robe of purity	T8_ARMOR_CLOTH_AVALON
elder's rootbound staff	T8_2H_SHAPESHIFTER_SET2
elder's rotcaller staff	T8_MAIN_CURSEDSTAFF_CRYSTAL
elder's rotten crystal	T8_ARTEFACT_MAIN_CURSEDSTAFF_CRYSTAL
elder's royal armor	T8_ARMOR_PLATE_ROYAL
elder's royal boots	T8_SHOES_PLATE_ROYAL
elder's royal cowl	T8_HEAD_CLOTH_ROYAL
elder's royal helmet	T8_HEAD_PLATE_ROYAL
elder's royal hood	T8_HEAD_LEATHER_ROYAL
elder's royal jacket	T8_ARMOR_LEATHER_ROYAL
elder's royal robe	T8_ARMOR_CLOTH_ROYAL
elder's royal sandals	T8_SHOES_CLOTH_ROYAL
elder's royal shoes	T8_SHOES_LEATHER_ROYAL
elder's royal sigil	QUESTITEM_TOKEN_ROYAL_T8
elder's ruined ancestral vamplate	T8_ARTEFACT_MAIN_SPEAR_LANCE_AVALON
elder's rune	T8_RUNE
elder's runed horn	T8_ARTEFACT_OFF_HORN_KEEPER
elder's runed rock	T8_ARTEFACT_MAIN_ROCKMACE_KEEPER
elder's runestone golem remnant	T8_ARTEFACT_2H_SHAPESHIFTER_KEEPER
elder's sacred scepter	T8_OFF_TALISMAN_AVALON
elder's sanctified belt	T8_ARTEFACT_ARMOR_CLOTH_AVALON
elder's sanctified bindings	T8_ARTEFACT_SHOES_CLOTH_AVALON
elder's sanctified mask	T8_ARTEFACT_HEAD_CLOTH_AVALON
elder's sandals of purity	T8_SHOES_CLOTH_AVALON
elder's sarcophagus	T8_OFF_TOWERSHIELD_UNDEAD
elder's satchel of insight	T8_BAG_INSIGHT
elder's scholar cowl	T8_HEAD_CLOTH_SET1
elder's scholar robe	T8_ARMOR_CLOTH_SET1
elder's scholar sandals	T8_SHOES_CLOTH_SET1
elder's serpent crystal	T8_ARTEFACT_2H_SHAPESHIFTER_CRYSTAL
elder's severed celestial keepsake	T8_ARTEFACT_OFF_CENSER_AVALON
elder's severed demonic horns	T8_ARTEFACT_2H_KNUCKLES_HELL
elder's shadowcaller	T8_MAIN_CURSEDSTAFF_AVALON
elder's shattered avalonian memento	T8_ARTEFACT_OFF_TALISMAN_AVALON
elder's shield	T8_OFF_SHIELD
elder's shoes of tenacity	T8_SHOES_LEATHER_AVALON
elder's sickle	T8_2H_TOOL_SICKLE
elder's siege banner	T8_SIEGE_BANNER
elder's siege hammer	T8_2H_TOOL_SIEGEHAMMER
elder's siegebow	T8_2H_CROSSBOWLARGE_MORGANA
elder's skinner backpack	T8_BACKPACK_GATHERER_HIDE
elder's skinner cap	T8_HEAD_GATHERER_HIDE
elder's skinner garb	T8_ARMOR_GATHERER_HIDE
elder's skinner workboots	T8_SHOES_GATHERER_HIDE
elder's skinning knife	T8_2H_TOOL_KNIFE
elder's skystrider bow	T8_2H_BOW_CRYSTAL
elder's smuggler cape	T8_CAPEITEM_SMUGGLER
elder's smuggler crest	T8_CAPEITEM_SMUGGLER_BP
elder's soldier armor	T8_ARMOR_PLATE_SET1
elder's soldier boots	T8_SHOES_PLATE_SET1
elder's soldier helmet	T8_HEAD_PLATE_SET1
elder's soul	T8_SOUL
elder's soulscythe	T8_2H_TWINSCYTHE_HELL
elder's spear	T8_MAIN_SPEAR
elder's specter hood	T8_HEAD_LEATHER_UNDEAD
elder's specter jacket	T8_ARMOR_LEATHER_UNDEAD
elder's specter shoes	T8_SHOES_LEATHER_UNDEAD
elder's spiked gauntlets	T8_2H_KNUCKLES_SET3
elder's spirithunter	T8_2H_HARPOON_HELL
elder's staff of balance	T8_2H_ROCKSTAFF_KEEPER
elder's stalker hood	T8_HEAD_LEATHER_MORGANA
elder's stalker jacket	T8_ARMOR_LEATHER_MORGANA
elder's stalker shoes	T8_SHOES_LEATHER_MORGANA
elder's startouched crystal	T8_ARTEFACT_2H_ARCANESTAFF_CRYSTAL
elder's stillgaze staff	T8_2H_SHAPESHIFTER_CRYSTAL
elder's stone hammer	T8_2H_TOOL_HAMMER
elder's symbol of blight	T8_ARTEFACT_2H_NATURESTAFF_HELL
elder's table	T8_FURNITUREITEM_TABLE
elder's taproot	T8_OFF_TOTEM_KEEPER
elder's thetford cape	T8_CAPEITEM_FW_THETFORD
elder's thetford crest	T8_CAPEITEM_FW_THETFORD_BP
elder's timelocked crystal	T8_ARTEFACT_OFF_TOME_CRYSTAL
elder's timelocked grimoire	T8_OFF_TOME_CRYSTAL
elder's timeworn walking staff	T8_ARTEFACT_2H_QUARTERSTAFF_AVALON
elder's tombhammer	T8_2H_HAMMER_UNDEAD
elder's tome of insight	T8_SKILLBOOK_NONTRADABLE
elder's tome of learning	T8_LEARNINGPOINTS_NONTRADABLE
elder's torch	T8_OFF_TORCH
