# normalized display name	exact unenchanted UniqueName
# entries=1653
acid potion	T5_POTION_ACID
elder's ironroot staff	T8_MAIN_NATURESTAFF_AVALON
elder's jacket of tenacity	T8_ARMOR_LEATHER_AVALON
elder's judicator armor	T8_ARMOR_PLATE_KEEPER
elder's judicator boots	T8_SHOES_PLATE_KEEPER
elder's judicator helmet	T8_HEAD_PLATE_KEEPER
elder's keeper cape	T8_CAPEITEM_KEEPER
elder's keeper crest	T8_CAPEITEM_KEEPER_BP
elder's kingmaker	T8_2H_CLAYMORE_AVALON
elder's knight armor	T8_ARMOR_PLATE_SET2
elder's knight boots	T8_SHOES_PLATE_SET2
elder's knight helmet	T8_HEAD_PLATE_SET2
elder's leering cane	T8_OFF_JESTERCANE_HELL
elder's lifecurse staff	T8_MAIN_CURSEDSTAFF_UNDEAD
elder's lifetouch staff	T8_MAIN_HOLYSTAFF_MORGANA
elder's light crossbow	T8_MAIN_1HCROSSBOW
elder's lightcaller	T8_2H_SHAPESHIFTER_AVALON
elder's longbow	T8_2H_LONGBOW
elder's lumberjack cap	T8_HEAD_GATHERER_WOOD
elder's lumberjack garb	T8_ARMOR_GATHERER_WOOD
elder's lumberjack workboots	T8_SHOES_GATHERER_WOOD
elder's lymhurst cape	T8_CAPEITEM_FW_LYMHURST
elder's lymhurst crest	T8_CAPEITEM_FW_LYMHURST_BP
elder's mace	T8_MAIN_MACE
elder's mage cowl	T8_HEAD_CLOTH_SET3
elder's mage robe	T8_ARMOR_CLOTH_SET3
elder's mage sandals	T8_SHOES_CLOTH_SET3
elder's malevolent locus	T8_2H_ENIGMATICORB_MORGANA
elder's martlock cape	T8_CAPEITEM_FW_MARTLOCK
elder's martlock crest	T8_CAPEITEM_FW_MARTLOCK_BP
elder's mercenary hood	T8_HEAD_LEATHER_SET1
elder's mercenary jacket	T8_ARMOR_LEATHER_SET1
elder's mercenary shoes	T8_SHOES_LEATHER_SET1
elder's miner cap	T8_HEAD_GATHERER_ORE
elder's miner garb	T8_ARMOR_GATHERER_ORE
elder's miner workboots	T8_SHOES_GATHERER_ORE
elder's mistcaller	T8_OFF_HORN_KEEPER
elder's mistpiercer	T8_2H_BOW_AVALON
elder's mistwalker hood	T8_HEAD_LEATHER_FEY
elder's mistwalker jacket	T8_ARMOR_LEATHER_FEY
elder's mistwalker shoes	T8_SHOES_LEATHER_FEY
elder's morgana cape	T8_CAPEITEM_MORGANA
elder's morgana crest	T8_CAPEITEM_MORGANA_BP
elder's morning star	T8_2H_FLAIL
elder's muisak	T8_OFF_DEMONSKULL_HELL
elder's nature staff	T8_MAIN_NATURESTAFF
elder's oathkeepers	T8_2H_DUALMACE_AVALON
elder's occult staff	T8_2H_ARCANESTAFF_HELL
elder's permafrost prism	T8_2H_ICECRYSTAL_UNDEAD
elder's phantom twinblade	T8_2H_DOUBLEBLADEDSTAFF_CRYSTAL
elder's pickaxe	T8_2H_TOOL_PICK
elder's pike	T8_2H_SPEAR
elder's polehammer	T8_2H_POLEHAMMER
elder's primal staff	T8_2H_SHAPESHIFTER_SET3
elder's prowling staff	T8_2H_SHAPESHIFTER_SET1
elder's quarrier cap	T8_HEAD_GATHERER_ROCK
elder's quarrier garb	T8_ARMOR_GATHERER_ROCK
elder's quarrier workboots	T8_SHOES_GATHERER_ROCK
elder's quarterstaff	T8_2H_QUARTERSTAFF
elder's rampant staff	T8_2H_NATURESTAFF_KEEPER
elder's ravenstrike cestus	T8_2H_KNUCKLES_MORGANA
elder's realmbreaker	T8_2H_AXE_AVALON
elder's redemption staff	T8_2H_HOLYSTAFF_UNDEAD
elder's rift glaive	T8_2H_GLAIVE_CRYSTAL
elder's robe of purity	T8_ARMOR_CLOTH_AVALON
elder's rootbound staff	T8_2H_SHAPESHIFTER_SET2
elder's rotcaller staff	T8_MAIN_CURSEDSTAFF_CRYSTAL
elder's royal armor	T8_ARMOR_PLATE_ROYAL
elder's royal boots	T8_SHOES_PLATE_ROYAL
elder's royal cowl	T8_HEAD_CLOTH_ROYAL
elder's royal helmet	T8_HEAD_PLATE_ROYAL
elder's royal hood	T8_HEAD_LEATHER_ROYAL
elder's royal jacket	T8_ARMOR_LEATHER_ROYAL
elder's royal robe	T8_ARMOR_CLOTH_ROYAL
elder's royal sandals	T8_SHOES_CLOTH_ROYAL
elder's royal shoes	T8_SHOES_LEATHER_ROYAL
elder's sacred scepter	T8_OFF_TALISMAN_AVALON
elder's sandals of purity	T8_SHOES_CLOTH_AVALON
elder's sarcophagus	T8_OFF_TOWERSHIELD_UNDEAD
elder's satchel of insight	T8_BAG_INSIGHT
elder's scholar cowl	T8_HEAD_CLOTH_SET1
elder's scholar robe	T8_ARMOR_CLOTH_SET1
elder's scholar sandals	T8_SHOES_CLOTH_SET1
elder's shadowcaller	T8_MAIN_CURSEDSTAFF_AVALON
elder's shield	T8_OFF_SHIELD
elder's shoes of tenacity	T8_SHOES_LEATHER_AVALON
elder's sickle	T8_2H_TOOL_SICKLE
elder's siege hammer	T8_2H_TOOL_SIEGEHAMMER
elder's siegebow	T8_2H_CROSSBOWLARGE_MORGANA
elder's skinner cap	T8_HEAD_GATHERER_HIDE
elder's skinner garb	T8_ARMOR_GATHERER_HIDE
elder's skinner workboots	T8_SHOES_GATHERER_HIDE
elder's skinning knife	T8_2H_TOOL_KNIFE
elder's skystrider bow	T8_2H_BOW_CRYSTAL
elder's smuggler cape	T8_CAPEITEM_SMUGGLER
elder's smuggler crest	T8_CAPEITEM_SMUGGLER_BP
elder's soldier armor	T8_ARMOR_PLATE_SET1
elder's soldier boots	T8_SHOES_PLATE_SET1
elder's soldier helmet	T8_HEAD_PLATE_SET1
elder's soulscythe	T8_2H_TWINSCYTHE_HELL
elder's spear	T8_MAIN_SPEAR
elder's specter hood	T8_HEAD_LEATHER_UNDEAD
elder's specter jacket	T8_ARMOR_LEATHER_UNDEAD
elder's specter shoes	T8_SHOES_LEATHER_UNDEAD
elder's spiked gauntlets	T8_2H_KNUCKLES_SET3
elder's spirithunter	T8_2H_HARPOON_HELL
elder's staff of balance	T8_2H_ROCKSTAFF_KEEPER
elder's stalker hood	T8_HEAD_LEATHER_MORGANA
elder's stalker jacket	T8_ARMOR_LEATHER_MORGANA
elder's stalker shoes	T8_SHOES_LEATHER_MORGANA
elder's stillgaze staff	T8_2H_SHAPESHIFTER_CRYSTAL
elder's stone hammer	T8_2H_TOOL_HAMMER
elder's taproot	T8_OFF_TOTEM_KEEPER
elder's thetford cape	T8_CAPEITEM_FW_THETFORD
elder's thetford crest	T8_CAPEITEM_FW_THETFORD_BP
elder's timelocked grimoire	T8_OFF_TOME_CRYSTAL
elder's tombhammer	T8_2H_HAMMER_UNDEAD
elder's torch	T8_OFF_TORCH
elder's tracking toolkit	T8_2H_TOOL_TRACKING
elder's trinity spear	T8_2H_TRIDENT_UNDEAD
elder's truebolt hammer	T8_2H_HAMMER_CRYSTAL
elder's twin slayers	T8_2H_DAGGERPAIR_CRYSTAL
elder's unbreakable ward	T8_OFF_SHIELD_CRYSTAL
elder's undead cape	T8_CAPEITEM_UNDEAD
elder's undead crest	T8_CAPEITEM_UNDEAD_BP
elder's ursine maulers	T8_2H_KNUCKLES_KEEPER
elder's wailing bow	T8_2H_BOW_HELL
elder's warbow	T8_2H_WARBOW
elder's weeping repeater	T8_2H_REPEATINGCROSSBOW_UNDEAD
elder's whispering bow	T8_2H_LONGBOW_UNDEAD
elder's wild staff	T8_2H_WILDSTAFF
elder's wildfire staff	T8_MAIN_FIRESTAFF_KEEPER
elder's witchwork staff	T8_MAIN_ARCANESTAFF_UNDEAD
energy potion	T4_POTION_ENERGY
expert's arcane staff	T5_MAIN_ARCANESTAFF
expert's arclight blasters	T5_2H_DUALCROSSBOW_CRYSTAL
expert's arctic staff	T5_2H_FROSTSTAFF_CRYSTAL
expert's armor of valor	T5_ARMOR_PLATE_AVALON
expert's assassin hood	T5_HEAD_LEATHER_SET3
expert's assassin jacket	T5_ARMOR_LEATHER_SET3
expert's assassin shoes	T5_SHOES_LEATHER_SET3
expert's astral aegis	T5_OFF_SHIELD_AVALON
expert's astral staff	T5_2H_ARCANESTAFF_CRYSTAL
expert's avalonian axe	T5_2H_TOOL_AXE_AVALON
expert's avalonian cape	T5_CAPEITEM_AVALON
expert's avalonian crest	T5_CAPEITEM_AVALON_BP
expert's avalonian fishing rod	T5_2H_TOOL_FISHINGROD_AVALON
expert's avalonian pickaxe	T5_2H_TOOL_PICK_AVALON
expert's avalonian sickle	T5_2H_TOOL_SICKLE_AVALON
expert's avalonian siege hammer	T5_2H_TOOL_SIEGEHAMMER_AVALON
expert's avalonian skinning knife	T5_2H_TOOL_KNIFE_AVALON
expert's avalonian stone hammer	T5_2H_TOOL_HAMMER_AVALON
expert's axe	T5_2H_TOOL_AXE
expert's bag	T5_BAG
expert's battle bracers	T5_2H_KNUCKLES_SET2
expert's battleaxe	T5_MAIN_AXE
expert's bear paws	T5_2H_DUALAXE_KEEPER
expert's bedrock mace	T5_MAIN_ROCKMACE_KEEPER
expert's black hands	T5_2H_IRONGAUNTLETS_HELL
expert's black monk staff	T5_2H_COMBATSTAFF_MORGANA
expert's blazing staff	T5_2H_INFERNOSTAFF_MORGANA
expert's blight staff	T5_2H_NATURESTAFF_HELL
expert's bloodletter	T5_MAIN_RAPIER_MORGANA
expert's bloodmoon staff	T5_2H_SHAPESHIFTER_MORGANA
expert's blueflame torch	T5_OFF_TORCH_CRYSTAL
expert's boltcasters	T5_2H_DUALCROSSBOW_HELL
expert's boots of valor	T5_SHOES_PLATE_AVALON
expert's bow	T5_2H_BOW
expert's bow of badon	T5_2H_BOW_KEEPER
expert's brawler gloves	T5_2H_KNUCKLES_SET1
expert's brecilien cape	T5_CAPEITEM_FW_BRECILIEN
expert's brecilien crest	T5_CAPEITEM_FW_BRECILIEN_BP
expert's bridgewatch cape	T5_CAPEITEM_FW_BRIDGEWATCH
expert's bridgewatch crest	T5_CAPEITEM_FW_BRIDGEWATCH_BP
expert's bridled fury	T5_2H_DAGGER_KATAR_AVALON
expert's brimstone staff	T5_2H_FIRESTAFF_HELL
expert's broadsword	T5_MAIN_SWORD
expert's caerleon cape	T5_CAPEITEM_FW_CAERLEON
expert's caerleon crest	T5_CAPEITEM_FW_CAERLEON_BP
expert's caitiff shield	T5_OFF_SHIELD_HELL
expert's camlann mace	T5_2H_MACE_MORGANA
expert's cape	T5_CAPE
expert's carrioncaller	T5_2H_HALBERD_MORGANA
expert's carving sword	T5_2H_CLEAVER_HELL
expert's celestial censer	T5_OFF_CENSER_AVALON
expert's chillhowl	T5_MAIN_FROSTSTAFF_AVALON
expert's clarent blade	T5_MAIN_SCIMITAR_MORGANA
expert's claws	T5_2H_CLAWPAIR
expert's claymore	T5_2H_CLAYMORE
expert's cleric cowl	T5_HEAD_CLOTH_SET2
expert's cleric robe	T5_ARMOR_CLOTH_SET2
expert's cleric sandals	T5_SHOES_CLOTH_SET2
expert's cowl of purity	T5_HEAD_CLOTH_AVALON
expert's crossbow	T5_2H_CROSSBOW
expert's cryptcandle	T5_OFF_LAMP_UNDEAD
expert's crystal reaper	T5_2H_SCYTHE_CRYSTAL
expert's cultist cowl	T5_HEAD_CLOTH_MORGANA
expert's cultist robe	T5_ARMOR_CLOTH_MORGANA
expert's cultist sandals	T5_SHOES_CLOTH_MORGANA
expert's cursed skull	T5_2H_SKULLORB_HELL
expert's cursed staff	T5_MAIN_CURSEDSTAFF
expert's dagger	T5_MAIN_DAGGER
expert's dagger pair	T5_2H_DAGGERPAIR
expert's damnation staff	T5_2H_CURSEDSTAFF_MORGANA
expert's dawnsong	T5_2H_FIRE_RINGPAIR_AVALON
expert's daybreaker	T5_MAIN_SPEAR_LANCE_AVALON
expert's deathgivers	T5_2H_DUALSICKLE_UNDEAD
expert's demon armor	T5_ARMOR_PLATE_HELL
expert's demon boots	T5_SHOES_PLATE_HELL
expert's demon cape	T5_CAPEITEM_DEMON
expert's demon crest	T5_CAPEITEM_DEMON_BP
expert's demon helmet	T5_HEAD_PLATE_HELL
expert's demonfang	T5_MAIN_DAGGER_HELL
expert's demonic staff	T5_2H_DEMONICSTAFF
expert's divine staff	T5_2H_DIVINESTAFF
expert's double bladed staff	T5_2H_DOUBLEBLADEDSTAFF
expert's dreadstorm monarch	T5_MAIN_MACE_CRYSTAL
expert's druid cowl	T5_HEAD_CLOTH_KEEPER
expert's druid robe	T5_ARMOR_CLOTH_KEEPER
expert's druid sandals	T5_SHOES_CLOTH_KEEPER
expert's druidic staff	T5_MAIN_NATURESTAFF_KEEPER
expert's dual swords	T5_2H_DUALSWORD
expert's duskweaver armor	T5_ARMOR_PLATE_FEY
expert's duskweaver boots	T5_SHOES_PLATE_FEY
expert's duskweaver helmet	T5_HEAD_PLATE_FEY
expert's earthrune staff	T5_2H_SHAPESHIFTER_KEEPER
expert's energy shaper	T5_2H_CROSSBOW_CANNON_AVALON
expert's enigmatic staff	T5_2H_ENIGMATICSTAFF
expert's evensong	T5_2H_ARCANE_RINGPAIR_AVALON
expert's exalted staff	T5_2H_HOLYSTAFF_CRYSTAL
expert's eye of secrets	T5_OFF_ORB_MORGANA
expert's facebreaker	T5_OFF_SPIKEDSHIELD_MORGANA
expert's fallen staff	T5_2H_HOLYSTAFF_HELL
expert's feyscale hat	T5_HEAD_CLOTH_FEY
expert's feyscale robe	T5_ARMOR_CLOTH_FEY
expert's feyscale sandals	T5_SHOES_CLOTH_FEY
expert's fiend cowl	T5_HEAD_CLOTH_HELL
expert's fiend robe	T5_ARMOR_CLOTH_HELL
expert's fiend sandals	T5_SHOES_CLOTH_HELL
expert's fire staff	T5_MAIN_FIRESTAFF
expert's fisherman cap	T5_HEAD_GATHERER_FISH
expert's fisherman garb	T5_ARMOR_GATHERER_FISH
expert's fisherman workboots	T5_SHOES_GATHERER_FISH
expert's fishing rod	T5_2H_TOOL_FISHINGROD
expert's fists of avalon	T5_2H_KNUCKLES_AVALON
expert's flamewalker staff	T5_MAIN_FIRESTAFF_CRYSTAL
expert's forcepulse bracers	T5_2H_KNUCKLES_CRYSTAL
expert's forge hammers	T5_2H_DUALHAMMER_HELL
expert's forgebark staff	T5_MAIN_NATURESTAFF_CRYSTAL
expert's fort sterling cape	T5_CAPEITEM_FW_FORTSTERLING
expert's fort sterling crest	T5_CAPEITEM_FW_FORTSTERLING_BP
expert's frost staff	T5_MAIN_FROSTSTAFF
expert's galatine pair	T5_2H_DUALSCIMITAR_UNDEAD
expert's glacial staff	T5_2H_GLACIALSTAFF
expert's glaive	T5_2H_GLAIVE
expert's grailseeker	T5_2H_QUARTERSTAFF_AVALON
expert's graveguard armor	T5_ARMOR_PLATE_UNDEAD
expert's graveguard boots	T5_SHOES_PLATE_UNDEAD
expert's graveguard helmet	T5_HEAD_PLATE_UNDEAD
expert's great arcane staff	T5_2H_ARCANESTAFF
expert's great cursed staff	T5_2H_CURSEDSTAFF
expert's great fire staff	T5_2H_FIRESTAFF
expert's great frost staff	T5_2H_FROSTSTAFF
expert's great hammer	T5_2H_HAMMER
expert's great holy staff	T5_2H_HOLYSTAFF
expert's great nature staff	T5_2H_NATURESTAFF
expert's greataxe	T5_2H_AXE
expert's grovekeeper	T5_2H_RAM_KEEPER
expert's guardian armor	T5_ARMOR_PLATE_SET3
expert's guardian boots	T5_SHOES_PLATE_SET3
expert's guardian helmet	T5_HEAD_PLATE_SET3
expert's halberd	T5_2H_HALBERD
expert's hallowfall	T5_MAIN_HOLYSTAFF_AVALON
expert's hammer	T5_MAIN_HAMMER
expert's hand of justice	T5_2H_HAMMER_AVALON
expert's harvester cap	T5_HEAD_GATHERER_FIBER
expert's harvester garb	T5_ARMOR_GATHERER_FIBER
expert's harvester workboots	T5_SHOES_GATHERER_FIBER
expert's heavy crossbow	T5_2H_CROSSBOWLARGE
expert's heavy mace	T5_2H_MACE
expert's hellfire hands	T5_2H_KNUCKLES_HELL
expert's hellion hood	T5_HEAD_LEATHER_HELL
expert's hellion jacket	T5_ARMOR_LEATHER_HELL
expert's hellion shoes	T5_SHOES_LEATHER_HELL
expert's hellspawn staff	T5_2H_SHAPESHIFTER_HELL
expert's helmet of valor	T5_HEAD_PLATE_AVALON
expert's heretic cape	T5_CAPEITEM_HERETIC
expert's heretic crest	T5_CAPEITEM_HERETIC_BP
expert's heron spear	T5_MAIN_SPEAR_KEEPER
expert's hoarfrost staff	T5_MAIN_FROSTSTAFF_KEEPER
expert's holy staff	T5_MAIN_HOLYSTAFF
expert's hood of tenacity	T5_HEAD_LEATHER_AVALON
expert's hunter hood	T5_HEAD_LEATHER_SET2
expert's hunter jacket	T5_ARMOR_LEATHER_SET2
expert's hunter shoes	T5_SHOES_LEATHER_SET2
expert's icicle staff	T5_2H_ICEGAUNTLETS_HELL
expert's incubus mace	T5_MAIN_MACE_HELL
expert's infernal scythe	T5_2H_SCYTHE_HELL
expert's infernal staff	T5_2H_INFERNOSTAFF
expert's infinity blade	T5_MAIN_SWORD_CRYSTAL
expert's iron-clad staff	T5_2H_IRONCLADEDSTAFF
expert's ironroot staff	T5_MAIN_NATURESTAFF_AVALON
expert's jacket of tenacity	T5_ARMOR_LEATHER_AVALON
expert's judicator armor	T5_ARMOR_PLATE_KEEPER
expert's judicator boots	T5_SHOES_PLATE_KEEPER
expert's judicator helmet	T5_HEAD_PLATE_KEEPER
expert's keeper cape	T5_CAPEITEM_KEEPER
expert's keeper crest	T5_CAPEITEM_KEEPER_BP
expert's kingmaker	T5_2H_CLAYMORE_AVALON
expert's knight armor	T5_ARMOR_PLATE_SET2
expert's knight boots	T5_SHOES_PLATE_SET2
expert's knight helmet	T5_HEAD_PLATE_SET2
expert's leering cane	T5_OFF_JESTERCANE_HELL
expert's lifecurse staff	T5_MAIN_CURSEDSTAFF_UNDEAD
expert's lifetouch staff	T5_MAIN_HOLYSTAFF_MORGANA
expert's light crossbow	T5_MAIN_1HCROSSBOW
expert's lightcaller	T5_2H_SHAPESHIFTER_AVALON
expert's longbow	T5_2H_LONGBOW
expert's lumberjack cap	T5_HEAD_GATHERER_WOOD
expert's lumberjack garb	T5_ARMOR_GATHERER_WOOD
expert's lumberjack workboots	T5_SHOES_GATHERER_WOOD
expert's lymhurst cape	T5_CAPEITEM_FW_LYMHURST
expert's lymhurst crest	T5_CAPEITEM_FW_LYMHURST_BP
expert's mace	T5_MAIN_MACE
expert's mage cowl	T5_HEAD_CLOTH_SET3
expert's mage robe	T5_ARMOR_CLOTH_SET3
expert's mage sandals	T5_SHOES_CLOTH_SET3
expert's malevolent locus	T5_2H_ENIGMATICORB_MORGANA
expert's martlock cape	T5_CAPEITEM_FW_MARTLOCK
expert's martlock crest	T5_CAPEITEM_FW_MARTLOCK_BP
expert's mercenary hood	T5_HEAD_LEATHER_SET1
expert's mercenary jacket	T5_ARMOR_LEATHER_SET1
expert's mercenary shoes	T5_SHOES_LEATHER_SET1
expert's miner cap	T5_HEAD_GATHERER_ORE
expert's miner garb	T5_ARMOR_GATHERER_ORE
expert's miner workboots	T5_SHOES_GATHERER_ORE
expert's mistcaller	T5_OFF_HORN_KEEPER
expert's mistpiercer	T5_2H_BOW_AVALON
expert's mistwalker hood	T5_HEAD_LEATHER_FEY
expert's mistwalker jacket	T5_ARMOR_LEATHER_FEY
expert's mistwalker shoes	T5_SHOES_LEATHER_FEY
expert's morgana cape	T5_CAPEITEM_MORGANA
expert's morgana crest	T5_CAPEITEM_MORGANA_BP
expert's morning star	T5_2H_FLAIL
expert's muisak	T5_OFF_DEMONSKULL_HELL
expert's nature staff	T5_MAIN_NATURESTAFF
expert's oathkeepers	T5_2H_DUALMACE_AVALON
expert's occult staff	T5_2H_ARCANESTAFF_HELL
expert's permafrost prism	T5_2H_ICECRYSTAL_UNDEAD
expert's phantom twinblade	T5_2H_DOUBLEBLADEDSTAFF_CRYSTAL
expert's pickaxe	T5_2H_TOOL_PICK
expert's pike	T5_2H_SPEAR
expert's polehammer	T5_2H_POLEHAMMER
expert's primal staff	T5_2H_SHAPESHIFTER_SET3
expert's prowling staff	T5_2H_SHAPESHIFTER_SET1
expert's quarrier cap	T5_HEAD_GATHERER_ROCK
expert's quarrier garb	T5_ARMOR_GATHERER_ROCK
expert's quarrier workboots	T5_SHOES_GATHERER_ROCK
expert's quarterstaff	T5_2H_QUARTERSTAFF
expert's rampant staff	T5_2H_NATURESTAFF_KEEPER
expert's ravenstrike cestus	T5_2H_KNUCKLES_MORGANA
expert's realmbreaker	T5_2H_AXE_AVALON
expert's redemption staff	T5_2H_HOLYSTAFF_UNDEAD
expert's rift glaive	T5_2H_GLAIVE_CRYSTAL
expert's robe of purity	T5_ARMOR_CLOTH_AVALON
expert's rootbound staff	T5_2H_SHAPESHIFTER_SET2
expert's rotcaller staff	T5_MAIN_CURSEDSTAFF_CRYSTAL
expert's royal armor	T5_ARMOR_PLATE_ROYAL
expert's royal boots	T5_SHOES_PLATE_ROYAL
expert's royal cowl	T5_HEAD_CLOTH_ROYAL
expert's royal helmet	T5_HEAD_PLATE_ROYAL
expert's royal hood	T5_HEAD_LEATHER_ROYAL
expert's royal jacket	T5_ARMOR_LEATHER_ROYAL
expert's royal robe	T5_ARMOR_CLOTH_ROYAL
expert's royal sandals	T5_SHOES_CLOTH_ROYAL
expert's royal shoes	T5_SHOES_LEATHER_ROYAL
expert's sacred scepter	T5_OFF_TALISMAN_AVALON
expert's sandals of purity	T5_SHOES_CLOTH_AVALON
expert's sarcophagus	T5_OFF_TOWERSHIELD_UNDEAD
expert's satchel of insight	T5_BAG_INSIGHT
expert's scholar cowl	T5_HEAD_CLOTH_SET1
expert's scholar robe	T5_ARMOR_CLOTH_SET1
expert's scholar sandals	T5_SHOES_CLOTH_SET1
expert's shadowcaller	T5_MAIN_CURSEDSTAFF_AVALON
expert's shield	T5_OFF_SHIELD
expert's shoes of tenacity	T5_SHOES_LEATHER_AVALON
expert's sickle	T5_2H_TOOL_SICKLE
expert's siege hammer	T5_2H_TOOL_SIEGEHAMMER
expert's siegebow	T5_2H_CROSSBOWLARGE_MORGANA
expert's skinner cap	T5_HEAD_GATHERER_HIDE
expert's skinner garb	T5_ARMOR_GATHERER_HIDE
expert's skinner workboots	T5_SHOES_GATHERER_HIDE
expert's skinning knife	T5_2H_TOOL_KNIFE
expert's skystrider bow	T5_2H_BOW_CRYSTAL
expert's smuggler cape	T5_CAPEITEM_SMUGGLER
expert's smuggler crest	T5_CAPEITEM_SMUGGLER_BP
expert's soldier armor	T5_ARMOR_PLATE_SET1
expert's soldier boots	T5_SHOES_PLATE_SET1
expert's soldier helmet	T5_HEAD_PLATE_SET1
expert's soulscythe	T5_2H_TWINSCYTHE_HELL
expert's spear	T5_MAIN_SPEAR
expert's specter hood	T5_HEAD_LEATHER_UNDEAD
expert's specter jacket	T5_ARMOR_LEATHER_UNDEAD
expert's specter shoes	T5_SHOES_LEATHER_UNDEAD
expert's spiked gauntlets	T5_2H_KNUCKLES_SET3
expert's spirithunter	T5_2H_HARPOON_HELL
expert's staff of balance	T5_2H_ROCKSTAFF_KEEPER
expert's stalker hood	T5_HEAD_LEATHER_MORGANA
expert's stalker jacket	T5_ARMOR_LEATHER_MORGANA
expert's stalker shoes	T5_SHOES_LEATHER_MORGANA
expert's stillgaze staff	T5_2H_SHAPESHIFTER_CRYSTAL
expert's stone hammer	T5_2H_TOOL_HAMMER
expert's taproot	T5_OFF_TOTEM_KEEPER
expert's thetford cape	T5_CAPEITEM_FW_THETFORD
expert's thetford crest	T5_CAPEITEM_FW_THETFORD_BP
expert's timelocked grimoire	T5_OFF_TOME_CRYSTAL
expert's tombhammer	T5_2H_HAMMER_UNDEAD
expert's tome of spells	T5_OFF_BOOK
expert's torch	T5_OFF_TORCH
expert's tracking toolkit	T5_2H_TOOL_TRACKING
expert's trinity spear	T5_2H_TRIDENT_UNDEAD
expert's truebolt hammer	T5_2H_HAMMER_CRYSTAL
expert's twin slayers	T5_2H_DAGGERPAIR_CRYSTAL
expert's unbreakable ward	T5_OFF_SHIELD_CRYSTAL
expert's undead cape	T5_CAPEITEM_UNDEAD
expert's undead crest	T5_CAPEITEM_UNDEAD_BP
expert's ursine maulers	T5_2H_KNUCKLES_KEEPER
expert's wailing bow	T5_2H_BOW_HELL
expert's warbow	T5_2H_WARBOW
expert's weeping repeater	T5_2H_REPEATINGCROSSBOW_UNDEAD
expert's whispering bow	T5_2H_LONGBOW_UNDEAD
expert's wild staff	T5_2H_WILDSTAFF
expert's wildfire staff	T5_MAIN_FIRESTAFF_KEEPER
expert's witchwork staff	T5_MAIN_ARCANESTAFF_UNDEAD
frostpeak deadeye pie	T7_MEAL_PIE_FISH
gathering potion	T6_POTION_GATHER
gigantify potion	T5_POTION_REVIVE
goat sandwich	T4_MEAL_SANDWICH
goat stew	T4_MEAL_STEW
goose omelette	T5_MEAL_OMELETTE
goose pie	T5_MEAL_PIE
grandmaster's arcane staff	T7_MAIN_ARCANESTAFF
grandmaster's arclight blasters	T7_2H_DUALCROSSBOW_CRYSTAL
grandmaster's arctic staff	T7_2H_FROSTSTAFF_CRYSTAL
grandmaster's armor of valor	T7_ARMOR_PLATE_AVALON
grandmaster's assassin hood	T7_HEAD_LEATHER_SET3
grandmaster's assassin jacket	T7_ARMOR_LEATHER_SET3
grandmaster's assassin shoes	T7_SHOES_LEATHER_SET3
grandmaster's astral aegis	T7_OFF_SHIELD_AVALON
grandmaster's astral staff	T7_2H_ARCANESTAFF_CRYSTAL
grandmaster's avalonian axe	T7_2H_TOOL_AXE_AVALON
grandmaster's avalonian cape	T7_CAPEITEM_AVALON
grandmaster's avalonian crest	T7_CAPEITEM_AVALON_BP
grandmaster's avalonian fishing rod	T7_2H_TOOL_FISHINGROD_AVALON
grandmaster's avalonian pickaxe	T7_2H_TOOL_PICK_AVALON
grandmaster's avalonian sickle	T7_2H_TOOL_SICKLE_AVALON
grandmaster's avalonian siege hammer	T7_2H_TOOL_SIEGEHAMMER_AVALON
grandmaster's avalonian skinning knife	T7_2H_TOOL_KNIFE_AVALON
grandmaster's avalonian stone hammer	T7_2H_TOOL_HAMMER_AVALON
grandmaster's axe	T7_2H_TOOL_AXE
grandmaster's bag	T7_BAG
grandmaster's battle bracers	T7_2H_KNUCKLES_SET2
grandmaster's battleaxe	T7_MAIN_AXE
grandmaster's bear paws	T7_2H_DUALAXE_KEEPER
grandmaster's bedrock mace	T7_MAIN_ROCKMACE_KEEPER
grandmaster's black hands	T7_2H_IRONGAUNTLETS_HELL
grandmaster's black monk staff	T7_2H_COMBATSTAFF_MORGANA
grandmaster's blazing staff	T7_2H_INFERNOSTAFF_MORGANA
grandmaster's blight staff	T7_2H_NATURESTAFF_HELL
grandmaster's bloodletter	T7_MAIN_RAPIER_MORGANA
grandmaster's bloodmoon staff	T7_2H_SHAPESHIFTER_MORGANA
grandmaster's blueflame torch	T7_OFF_TORCH_CRYSTAL
grandmaster's boltcasters	T7_2H_DUALCROSSBOW_HELL
grandmaster's boots of valor	T7_SHOES_PLATE_AVALON
grandmaster's bow	T7_2H_BOW
grandmaster's bow of badon	T7_2H_BOW_KEEPER
grandmaster's brawler gloves	T7_2H_KNUCKLES_SET1
grandmaster's brecilien cape	T7_CAPEITEM_FW_BRECILIEN
grandmaster's brecilien crest	T7_CAPEITEM_FW_BRECILIEN_BP
grandmaster's bridgewatch cape	T7_CAPEITEM_FW_BRIDGEWATCH
grandmaster's bridgewatch crest	T7_CAPEITEM_FW_BRIDGEWATCH_BP
grandmaster's bridled fury	T7_2H_DAGGER_KATAR_AVALON
grandmaster's brimstone staff	T7_2H_FIRESTAFF_HELL
grandmaster's broadsword	T7_MAIN_SWORD
grandmaster's caerleon cape	T7_CAPEITEM_FW_CAERLEON
